frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm,diameter_nm,height_nm
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,394.756433,247.456329,3.171131,1.359056
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,390.680177,247.673526,3.515493,3.030596
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,387.664567,240.939522,1.714368,0.857178
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,390.284060,241.450637,2.417317,2.417329
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,382.894112,241.365447,4.364067,2.303231
214,11dd74426e8374ac110c4036c77c09ab_000000000220,0.383342,331.670795,199.207746,179.651306,64.384514
215,11dd74426e8374ac110c4036c77c09ab_000000000221,0.383342,339.541019,207.566975,177.979126,69.279846
216,11dd74426e8374ac110c4036c77c09ab_000000000222,0.376288,333.011582,202.448298,174.698120,67.481712
217,11dd74426e8374ac110c4036c77c09ab_000000000223,0.390658,339.078727,209.291476,181.770844,70.305908
218,11dd74426e8374ac110c4036c77c09ab_000000000224,0.383342,370.384154,243.790181,0.766683,0.766683
218,11dd74426e8374ac110c4036c77c09ab_000000000224,0.383342,332.840497,205.556256,178.286865,68.561104
219,11dd74426e8374ac110c4036c77c09ab_000000000225,0.383342,335.392559,204.863134,178.412415,68.561104
220,11dd74426e8374ac110c4036c77c09ab_000000000226,0.383342,332.087875,201.260743,178.706177,68.212517
221,11dd74426e8374ac110c4036c77c09ab_000000000227,0.383342,326.468636,197.337061,177.543335,64.323082
222,11dd74426e8374ac110c4036c77c09ab_000000000228,0.383342,281.578854,164.117742,1.626371,3.252765
222,11dd74426e8374ac110c4036c77c09ab_000000000228,0.383342,327.478066,200.926700,178.834763,67.972298
223,11dd74426e8374ac110c4036c77c09ab_000000000229,0.383342,328.647113,199.725552,178.947617,67.972298
224,11dd74426e8374ac110c4036c77c09ab_000000000230,0.383342,291.360593,169.462554,1.542936,1.028619
224,11dd74426e8374ac110c4036c77c09ab_000000000230,0.383342,330.752942,200.137789,179.323685,69.074638
225,11dd74426e8374ac110c4036c77c09ab_000000000231,0.383342,329.452145,201.861493,178.746841,69.035782
226,11dd74426e8374ac110c4036c77c09ab_000000000232,0.383342,329.136164,202.815121,178.489639,69.205086
227,11dd74426e8374ac110c4036c77c09ab_000000000233,0.376288,323.946877,197.991518,174.314438,68.218330
228,11dd74426e8374ac110c4036c77c09ab_000000000234,0.376288,323.397695,198.414774,174.588638,68.247559
229,11dd74426e8374ac110c4036c77c09ab_000000000235,0.376288,325.282443,200.179085,174.755051,68.365067
230,11dd74426e8374ac110c4036c77c09ab_000000000236,0.376288,324.803218,197.872964,174.721054,68.599289
231,11dd74426e8374ac110c4036c77c09ab_000000000237,0.376288,322.834962,195.934427,174.964294,68.462975
232,11dd74426e8374ac110c4036c77c09ab_000000000238,0.376288,326.706800,200.186664,176.090210,68.411079
233,11dd74426e8374ac110c4036c77c09ab_000000000239,0.376288,328.190341,200.977963,176.124542,68.447922
234,11dd74426e8374ac110c4036c77c09ab_000000000240,0.376288,326.639897,199.795907,175.911423,68.377655
235,11dd74426e8374ac110c4036c77c09ab_000000000241,0.376288,328.526070,199.904999,175.626663,68.665237
236,11dd74426e8374ac110c4036c77c09ab_000000000242,0.383342,318.434303,198.353393,180.582428,71.435730
237,11dd74426e8374ac110c4036c77c09ab_000000000243,0.383342,330.590494,200.539053,179.905685,70.676888
238,11dd74426e8374ac110c4036c77c09ab_000000000244,0.369484,317.911480,194.658553,173.590714,67.132103
239,11dd74426e8374ac110c4036c77c09ab_000000000245,0.376288,321.006941,195.766447,176.777206,68.323517
240,11dd74426e8374ac110c4036c77c09ab_000000000246,0.383342,328.324558,200.735263,180.006439,69.518677
241,11dd74426e8374ac110c4036c77c09ab_000000000247,0.383342,327.873855,201.701245,180.101822,69.447189
242,11dd74426e8374ac110c4036c77c09ab_000000000248,0.383342,322.021672,200.464369,180.202545,69.623978
