frame_id,frame_name,delta_area_nm2_per_frame
62,11dd74426e8374ac110c4036c77c09ab_000000000068,15.108737
63,11dd74426e8374ac110c4036c77c09ab_000000000069,17.855780
64,11dd74426e8374ac110c4036c77c09ab_000000000070,4.120565
65,11dd74426e8374ac110c4036c77c09ab_000000000071,78.748569
66,11dd74426e8374ac110c4036c77c09ab_000000000072,-3.357497
67,11dd74426e8374ac110c4036c77c09ab_000000000073,-298.271492
68,11dd74426e8374ac110c4036c77c09ab_000000000074,-9.404849
69,11dd74426e8374ac110c4036c77c09ab_000000000075,18.368846
70,11dd74426e8374ac110c4036c77c09ab_000000000076,311.894294
71,11dd74426e8374ac110c4036c77c09ab_000000000077,2.136589
72,11dd74426e8374ac110c4036c77c09ab_000000000078,14.345670
73,11dd74426e8374ac110c4036c77c09ab_000000000079,-24.418161
74,11dd74426e8374ac110c4036c77c09ab_000000000080,-302.341933
75,11dd74426e8374ac110c4036c77c09ab_000000000081,19.397502
76,11dd74426e8374ac110c4036c77c09ab_000000000082,9.404849
77,11dd74426e8374ac110c4036c77c09ab_000000000083,-29.684056
78,11dd74426e8374ac110c4036c77c09ab_000000000084,3.526819
79,11dd74426e8374ac110c4036c77c09ab_000000000085,-49.669361
80,11dd74426e8374ac110c4036c77c09ab_000000000086,23.218222
81,11dd74426e8374ac110c4036c77c09ab_000000000087,-45.848641
82,11dd74426e8374ac110c4036c77c09ab_000000000088,20.573108
83,11dd74426e8374ac110c4036c77c09ab_000000000089,-30.271859
84,11dd74426e8374ac110c4036c77c09ab_000000000090,-53.196179
85,11dd74426e8374ac110c4036c77c09ab_000000000091,-20.573108
86,11dd74426e8374ac110c4036c77c09ab_000000000092,-217.019188
87,11dd74426e8374ac110c4036c77c09ab_000000000093,-9.911504
88,11dd74426e8374ac110c4036c77c09ab_000000000094,326.269414
89,11dd74426e8374ac110c4036c77c09ab_000000000095,36.149890
90,11dd74426e8374ac110c4036c77c09ab_000000000096,45.848641
91,11dd74426e8374ac110c4036c77c09ab_000000000097,-6.171932
92,11dd74426e8374ac110c4036c77c09ab_000000000098,-7.347539
93,11dd74426e8374ac110c4036c77c09ab_000000000099,53.783982
94,11dd74426e8374ac110c4036c77c09ab_000000000100,32.916973
95,11dd74426e8374ac110c4036c77c09ab_000000000101,-171.077747
96,11dd74426e8374ac110c4036c77c09ab_000000000102,28.601770
97,11dd74426e8374ac110c4036c77c09ab_000000000103,658.110928
98,11dd74426e8374ac110c4036c77c09ab_000000000104,-13.735216
99,11dd74426e8374ac110c4036c77c09ab_000000000105,-331.142939
100,11dd74426e8374ac110c4036c77c09ab_000000000106,337.247479
101,11dd74426e8374ac110c4036c77c09ab_000000000107,39.984739
102,11dd74426e8374ac110c4036c77c09ab_000000000108,82.716520
103,11dd74426e8374ac110c4036c77c09ab_000000000109,24.723388
104,11dd74426e8374ac110c4036c77c09ab_000000000110,-293.048320
105,11dd74426e8374ac110c4036c77c09ab_000000000111,371.796889
106,11dd74426e8374ac110c4036c77c09ab_000000000112,25.639069
107,11dd74426e8374ac110c4036c77c09ab_000000000113,-333.953225
108,11dd74426e8374ac110c4036c77c09ab_000000000114,46.142542
109,11dd74426e8374ac110c4036c77c09ab_000000000115,-353.101325
110,11dd74426e8374ac110c4036c77c09ab_000000000116,-3.115044
111,11dd74426e8374ac110c4036c77c09ab_000000000117,412.057662
112,11dd74426e8374ac110c4036c77c09ab_000000000118,11.462160
113,11dd74426e8374ac110c4036c77c09ab_000000000119,-92.872888
114,11dd74426e8374ac110c4036c77c09ab_000000000120,-78.765614
115,11dd74426e8374ac110c4036c77c09ab_000000000121,-557.531227
116,11dd74426e8374ac110c4036c77c09ab_000000000122,36.737693
117,11dd74426e8374ac110c4036c77c09ab_000000000123,-6.906686
118,11dd74426e8374ac110c4036c77c09ab_000000000124,-309.809419
119,11dd74426e8374ac110c4036c77c09ab_000000000125,20.955752
120,11dd74426e8374ac110c4036c77c09ab_000000000126,54.938053
121,11dd74426e8374ac110c4036c77c09ab_000000000127,322.526929
122,11dd74426e8374ac110c4036c77c09ab_000000000128,-0.881705
123,11dd74426e8374ac110c4036c77c09ab_000000000129,-15.576782
124,11dd74426e8374ac110c4036c77c09ab_000000000130,11.462160
125,11dd74426e8374ac110c4036c77c09ab_000000000131,-59.074210
126,11dd74426e8374ac110c4036c77c09ab_000000000132,20.573108
127,11dd74426e8374ac110c4036c77c09ab_000000000133,-82.880235
128,11dd74426e8374ac110c4036c77c09ab_000000000134,-43.791330
129,11dd74426e8374ac110c4036c77c09ab_000000000135,15.576782
130,11dd74426e8374ac110c4036c77c09ab_000000000136,60.543718
131,11dd74426e8374ac110c4036c77c09ab_000000000137,-2.057311
132,11dd74426e8374ac110c4036c77c09ab_000000000138,-360.368027
133,11dd74426e8374ac110c4036c77c09ab_000000000139,10.761062
134,11dd74426e8374ac110c4036c77c09ab_000000000140,348.431359
135,11dd74426e8374ac110c4036c77c09ab_000000000141,12.049963
136,11dd74426e8374ac110c4036c77c09ab_000000000142,18.515797
137,11dd74426e8374ac110c4036c77c09ab_000000000143,260.025830
138,11dd74426e8374ac110c4036c77c09ab_000000000144,-9.462037
139,11dd74426e8374ac110c4036c77c09ab_000000000145,-47.310187
140,11dd74426e8374ac110c4036c77c09ab_000000000146,-10.377718
141,11dd74426e8374ac110c4036c77c09ab_000000000147,-32.964517
142,11dd74426e8374ac110c4036c77c09ab_000000000148,3.357497
143,11dd74426e8374ac110c4036c77c09ab_000000000149,-282.886795
144,11dd74426e8374ac110c4036c77c09ab_000000000150,297.232465
145,11dd74426e8374ac110c4036c77c09ab_000000000151,5.494086
146,11dd74426e8374ac110c4036c77c09ab_000000000152,-39.374285
147,11dd74426e8374ac110c4036c77c09ab_000000000153,14.040443
148,11dd74426e8374ac110c4036c77c09ab_000000000154,68.065624
149,11dd74426e8374ac110c4036c77c09ab_000000000155,6.104540
150,11dd74426e8374ac110c4036c77c09ab_000000000156,-33.574971
151,11dd74426e8374ac110c4036c77c09ab_000000000157,68.676078
152,11dd74426e8374ac110c4036c77c09ab_000000000158,-9.395774
153,11dd74426e8374ac110c4036c77c09ab_000000000159,128.434309
154,11dd74426e8374ac110c4036c77c09ab_000000000160,-381.382161
155,11dd74426e8374ac110c4036c77c09ab_000000000161,-60.837619
156,11dd74426e8374ac110c4036c77c09ab_000000000162,36.737693
157,11dd74426e8374ac110c4036c77c09ab_000000000163,-245.758910
158,11dd74426e8374ac110c4036c77c09ab_000000000164,340.689108
159,11dd74426e8374ac110c4036c77c09ab_000000000165,-7.935342
160,11dd74426e8374ac110c4036c77c09ab_000000000166,-12.931668
161,11dd74426e8374ac110c4036c77c09ab_000000000167,-1.763409
162,11dd74426e8374ac110c4036c77c09ab_000000000168,669.847703
