frame,cx,cy
436,862.24,473.02
437,846.74,464.76
438,1113.50,626.36
438,855.57,476.68
439,1112.60,626.14
439,855.48,480.61
440,849.44,485.69
441,853.40,487.81
442,854.85,483.42
443,852.85,486.78
444,770.69,387.17
444,857.36,478.18
445,859.08,489.18
446,856.32,489.25
447,816.20,482.28
448,859.00,474.50
449,861.39,469.83
450,864.73,476.57
451,842.86,480.75
452,839.87,475.06
453,1114.04,626.24
453,865.87,477.96
454,863.87,487.69
455,1111.87,627.79
455,859.79,480.91
456,861.49,472.29
457,869.24,482.63
458,858.14,472.70
459,853.74,480.10
460,827.39,470.43
461,862.11,459.03
462,858.28,475.20
463,847.53,471.97
464,844.13,469.64
465,849.21,479.32
466,852.36,477.59
467,864.65,489.17
468,866.36,479.21
469,869.58,480.23
470,864.74,484.07
471,875.57,480.65
472,917.79,525.79
473,1068.09,631.12
473,1009.09,622.45
473,890.86,525.75
474,888.50,504.19
475,972.10,493.72
476,889.22,497.27
477,906.43,513.89
478,894.06,519.17
479,1007.59,623.25
479,902.58,500.09
480,897.93,489.75
481,908.54,509.58
482,905.34,508.42
483,905.00,510.87
484,886.51,497.51
485,875.35,505.12
486,878.05,507.25
487,861.84,494.38
488,842.51,483.18
489,844.31,479.78
490,845.31,471.61
491,871.95,472.03
492,883.58,466.15
493,872.78,462.49
494,872.05,463.50
495,884.99,479.33
496,883.11,471.46
497,905.10,475.50
498,879.81,467.55
499,889.42,468.86
500,852.49,477.98
501,868.09,486.13
502,883.27,480.24
503,882.19,493.27
504,926.83,496.36
505,956.69,516.61
506,967.34,521.30
507,1087.24,630.27
507,969.84,526.29
508,971.45,530.32
509,958.01,524.46
510,945.61,518.20
511,967.12,517.98
512,950.32,502.05
513,946.71,500.70
514,958.64,509.46
515,961.67,493.11
516,957.84,516.25
517,958.47,497.54
518,958.64,508.75
519,881.42,599.07
519,950.14,506.16
520,852.74,598.95
520,965.72,502.32
521,949.94,512.83
522,946.72,503.70
523,988.20,506.89
524,977.24,500.20
525,964.25,517.33
526,959.79,510.43
527,955.06,503.97
528,960.50,524.91
529,896.43,612.38
529,949.42,515.79
530,975.17,529.07
531,979.37,524.25
532,967.04,537.40
533,960.85,517.14
534,957.43,529.30
535,976.91,516.97
536,971.99,518.72
537,901.04,512.87
538,971.16,518.14
539,959.90,520.23
540,952.61,519.90
541,967.18,513.50
542,955.29,518.59
543,928.57,513.42
544,926.66,500.78
545,942.84,517.23
546,938.60,517.81
547,953.36,525.23
548,948.97,525.59
549,943.40,513.39
550,943.75,519.51
551,962.30,534.49
552,969.31,524.62
553,957.82,523.03
554,948.71,517.66
555,967.46,526.24
556,943.25,515.73
557,954.82,514.64
558,960.18,513.59
559,973.10,519.48
560,962.25,515.61
561,951.86,516.82
562,962.82,517.39
563,938.22,529.15
564,937.53,504.95
565,932.96,507.84
566,967.46,518.77
567,971.21,515.42
568,945.00,508.08
569,927.66,515.38
570,953.01,527.08
571,929.98,507.61
572,954.94,518.24
573,965.89,512.22
574,985.58,527.54
575,948.96,504.75
576,937.82,513.37
577,950.56,511.42
578,956.79,518.51
579,1154.73,672.50
579,1104.76,632.59
579,1087.42,615.93
579,1101.76,619.05
579,1081.76,607.26
579,1013.96,607.99
579,1029.56,607.79
579,1052.42,602.59
579,990.19,540.30
580,1149.85,665.39
580,1162.78,629.43
580,1136.84,629.00
580,1160.62,620.85
580,1146.62,620.85
580,1135.62,613.18
580,1099.66,615.31
580,1083.08,613.98
580,1066.53,612.18
580,1136.28,603.18
580,1059.62,603.85
580,963.23,520.36
581,1138.23,663.03
581,1020.59,602.16
581,993.39,599.71
581,1111.59,597.24
581,921.37,505.37
582,1140.95,666.42
582,1095.98,613.57
582,1079.31,612.74
582,1157.98,603.57
582,1094.64,598.24
582,963.27,515.42
583,1139.45,674.14
583,1079.15,613.23
583,1095.82,613.23
583,1072.82,603.40
583,957.29,523.08
584,1142.35,676.97
584,1086.23,615.29
584,1103.97,614.49
584,951.96,509.38
585,1144.70,676.98
585,1146.95,605.57
585,942.64,498.84
586,1144.28,675.68
586,1245.10,560.63
586,1246.97,550.01
586,990.87,504.04
587,1152.55,671.67
587,1224.97,582.59
587,904.03,499.54
588,952.62,530.50
589,1237.17,580.57
589,1235.97,571.97
589,1249.31,564.37
589,946.22,497.98
590,1241.65,583.30
590,1240.40,573.85
590,941.27,509.98
591,957.40,521.43
592,900.45,514.28
593,937.22,541.35
594,950.08,552.17
595,977.93,552.30
596,966.51,549.53
597,980.22,560.06
598,987.11,558.10
599,969.00,544.61
600,974.39,556.94
601,970.41,555.20
602,964.98,554.34
603,1210.96,640.20
603,956.67,550.43
604,957.39,540.09
605,971.98,540.37
606,1208.23,607.07
606,990.04,554.07
607,1212.62,607.60
607,986.27,549.06
608,1210.40,617.65
608,991.37,551.92
609,1212.03,617.32
609,1210.63,609.45
609,961.38,554.32
610,1214.55,617.74
610,1212.95,608.14
610,984.67,564.53
611,989.95,565.77
612,1043.12,664.24
612,987.86,561.81
613,1039.38,663.10
613,978.88,558.46
614,977.77,556.36
615,982.56,557.63
616,981.10,549.79
617,1125.31,655.42
617,925.00,480.42
618,970.54,549.80
619,966.87,541.03
620,970.75,542.83
621,904.17,620.08
621,906.42,611.66
621,971.02,539.19
622,919.83,487.02
623,979.94,554.24
624,1201.97,620.62
624,981.24,564.00
625,979.15,534.57
626,987.12,555.78
627,974.51,545.41
628,1078.23,680.34
628,1200.90,635.01
628,985.68,555.95
629,970.99,544.21
630,888.20,605.03
630,990.35,556.95
631,1194.90,629.82
631,1194.57,612.82
631,888.90,604.16
631,989.17,554.13
632,1206.62,631.68
632,1197.29,615.01
632,987.67,557.06
633,993.61,558.96
634,1198.28,624.17
634,1002.28,569.43
635,1202.25,600.29
635,983.42,552.78
636,1201.80,601.68
636,965.75,547.07
637,970.91,539.80
638,1198.96,599.12
638,962.61,532.95
639,953.22,540.62
640,974.84,546.74
641,974.60,547.11
642,1003.07,544.55
643,974.31,539.69
644,928.62,464.69
