frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm
944,11dd74426e8374ac110c4036c77c09ab_000000001005,0.344520,305.856531,122.279327
944,11dd74426e8374ac110c4036c77c09ab_000000001005,0.344520,250.072286,181.497002
944,11dd74426e8374ac110c4036c77c09ab_000000001005,0.344520,220.030810,95.457186
945,11dd74426e8374ac110c4036c77c09ab_000000001006,0.344520,304.866435,122.520285
945,11dd74426e8374ac110c4036c77c09ab_000000001006,0.344520,246.613076,183.024193
945,11dd74426e8374ac110c4036c77c09ab_000000001006,0.344520,219.185995,96.284485
946,11dd74426e8374ac110c4036c77c09ab_000000001007,0.344520,306.905759,123.246188
946,11dd74426e8374ac110c4036c77c09ab_000000001007,0.344520,249.023605,181.860595
946,11dd74426e8374ac110c4036c77c09ab_000000001007,0.344520,220.387338,95.364705
947,11dd74426e8374ac110c4036c77c09ab_000000001008,0.344520,306.011423,122.708664
947,11dd74426e8374ac110c4036c77c09ab_000000001008,0.344520,247.073439,180.958836
947,11dd74426e8374ac110c4036c77c09ab_000000001008,0.344520,219.074505,95.097704
948,11dd74426e8374ac110c4036c77c09ab_000000001009,0.344520,305.409984,122.732320
948,11dd74426e8374ac110c4036c77c09ab_000000001009,0.344520,244.885911,180.319190
948,11dd74426e8374ac110c4036c77c09ab_000000001009,0.344520,218.093198,94.566351
949,11dd74426e8374ac110c4036c77c09ab_000000001010,0.344520,305.137252,121.663390
949,11dd74426e8374ac110c4036c77c09ab_000000001010,0.344520,245.384755,180.439343
949,11dd74426e8374ac110c4036c77c09ab_000000001010,0.344520,219.012221,94.363085
950,11dd74426e8374ac110c4036c77c09ab_000000001011,0.344520,304.431431,121.462468
950,11dd74426e8374ac110c4036c77c09ab_000000001011,0.344520,244.106871,179.364693
950,11dd74426e8374ac110c4036c77c09ab_000000001011,0.344520,216.195497,93.827232
951,11dd74426e8374ac110c4036c77c09ab_000000001012,0.343351,303.799950,123.001097
951,11dd74426e8374ac110c4036c77c09ab_000000001012,0.343351,243.532202,180.183371
951,11dd74426e8374ac110c4036c77c09ab_000000001012,0.343351,217.043434,94.421523
952,11dd74426e8374ac110c4036c77c09ab_000000001013,0.343351,303.240621,121.000687
952,11dd74426e8374ac110c4036c77c09ab_000000001013,0.343351,244.248347,178.380675
952,11dd74426e8374ac110c4036c77c09ab_000000001013,0.343351,217.520927,92.758826
953,11dd74426e8374ac110c4036c77c09ab_000000001014,0.343351,304.805190,122.495606
953,11dd74426e8374ac110c4036c77c09ab_000000001014,0.343351,245.027781,180.242385
953,11dd74426e8374ac110c4036c77c09ab_000000001014,0.343351,217.250819,93.601496
954,11dd74426e8374ac110c4036c77c09ab_000000001015,0.328798,291.437161,116.600734
954,11dd74426e8374ac110c4036c77c09ab_000000001015,0.328798,233.944776,173.655361
954,11dd74426e8374ac110c4036c77c09ab_000000001015,0.328798,208.183523,90.017456
955,11dd74426e8374ac110c4036c77c09ab_000000001016,0.343351,303.353032,122.080364
955,11dd74426e8374ac110c4036c77c09ab_000000001016,0.343351,242.392191,179.747665
955,11dd74426e8374ac110c4036c77c09ab_000000001016,0.343351,215.202219,94.444418
956,11dd74426e8374ac110c4036c77c09ab_000000001017,0.322665,285.949209,115.053482
956,11dd74426e8374ac110c4036c77c09ab_000000001017,0.322665,228.495316,169.464868
956,11dd74426e8374ac110c4036c77c09ab_000000001017,0.322665,204.600194,88.682170
957,11dd74426e8374ac110c4036c77c09ab_000000001018,0.322665,287.556644,113.469700
957,11dd74426e8374ac110c4036c77c09ab_000000001018,0.322665,226.090929,167.602712
957,11dd74426e8374ac110c4036c77c09ab_000000001018,0.322665,203.773051,88.366399
958,11dd74426e8374ac110c4036c77c09ab_000000001019,0.343351,305.992877,122.322558
958,11dd74426e8374ac110c4036c77c09ab_000000001019,0.343351,240.121977,179.273902
958,11dd74426e8374ac110c4036c77c09ab_000000001019,0.343351,216.902376,93.900126
959,11dd74426e8374ac110c4036c77c09ab_000000001020,0.343351,305.532631,122.664452
959,11dd74426e8374ac110c4036c77c09ab_000000001020,0.343351,240.040854,178.171655
959,11dd74426e8374ac110c4036c77c09ab_000000001020,0.343351,217.219300,95.177852
960,11dd74426e8374ac110c4036c77c09ab_000000001021,0.344520,305.096416,123.824623
960,11dd74426e8374ac110c4036c77c09ab_000000001021,0.344520,239.667132,179.076569
960,11dd74426e8374ac110c4036c77c09ab_000000001021,0.344520,215.220098,94.982650
961,11dd74426e8374ac110c4036c77c09ab_000000001022,0.344520,307.390682,123.029864
961,11dd74426e8374ac110c4036c77c09ab_000000001022,0.344520,241.853083,179.285123
961,11dd74426e8374ac110c4036c77c09ab_000000001022,0.344520,214.480612,95.809487
962,11dd74426e8374ac110c4036c77c09ab_000000001023,0.344520,304.888283,122.901994
962,11dd74426e8374ac110c4036c77c09ab_000000001023,0.344520,239.745272,177.816138
962,11dd74426e8374ac110c4036c77c09ab_000000001023,0.344520,212.085202,94.639086
963,11dd74426e8374ac110c4036c77c09ab_000000001024,0.344520,303.356340,121.400625
963,11dd74426e8374ac110c4036c77c09ab_000000001024,0.344520,237.085668,176.833674
963,11dd74426e8374ac110c4036c77c09ab_000000001024,0.344520,212.539488,93.920007
964,11dd74426e8374ac110c4036c77c09ab_000000001025,0.344520,301.479582,121.196066
964,11dd74426e8374ac110c4036c77c09ab_000000001025,0.344520,236.324585,176.469577
964,11dd74426e8374ac110c4036c77c09ab_000000001025,0.344520,210.932433,94.509292
965,11dd74426e8374ac110c4036c77c09ab_000000001026,0.345599,299.363916,119.998975
965,11dd74426e8374ac110c4036c77c09ab_000000001026,0.345599,235.120162,175.969026
965,11dd74426e8374ac110c4036c77c09ab_000000001026,0.345599,208.593017,92.750848
966,11dd74426e8374ac110c4036c77c09ab_000000001027,0.345599,303.744632,121.685679
966,11dd74426e8374ac110c4036c77c09ab_000000001027,0.345599,236.372220,178.307714
966,11dd74426e8374ac110c4036c77c09ab_000000001027,0.345599,211.020626,95.470224
967,11dd74426e8374ac110c4036c77c09ab_000000001028,0.345599,304.128642,121.387826
967,11dd74426e8374ac110c4036c77c09ab_000000001028,0.345599,237.466687,177.882972
967,11dd74426e8374ac110c4036c77c09ab_000000001028,0.345599,211.380990,95.099967
968,11dd74426e8374ac110c4036c77c09ab_000000001029,0.344520,302.851692,121.038042
968,11dd74426e8374ac110c4036c77c09ab_000000001029,0.344520,236.105769,177.877750
968,11dd74426e8374ac110c4036c77c09ab_000000001029,0.344520,210.140335,96.390045
969,11dd74426e8374ac110c4036c77c09ab_000000001030,0.344520,300.162145,120.355089
969,11dd74426e8374ac110c4036c77c09ab_000000001030,0.344520,234.778827,178.073225
969,11dd74426e8374ac110c4036c77c09ab_000000001030,0.344520,209.399082,95.148781
970,11dd74426e8374ac110c4036c77c09ab_000000001031,0.345599,302.083884,120.146136
970,11dd74426e8374ac110c4036c77c09ab_000000001031,0.345599,234.814093,176.146645
970,11dd74426e8374ac110c4036c77c09ab_000000001031,0.345599,210.145807,95.584658
971,11dd74426e8374ac110c4036c77c09ab_000000001032,0.328798,287.662928,114.220381
971,11dd74426e8374ac110c4036c77c09ab_000000001032,0.328798,222.499881,164.911490
971,11dd74426e8374ac110c4036c77c09ab_000000001032,0.328798,200.298693,90.238317
972,11dd74426e8374ac110c4036c77c09ab_000000001033,0.327869,287.724910,115.124232
972,11dd74426e8374ac110c4036c77c09ab_000000001033,0.327869,222.734135,165.227671
972,11dd74426e8374ac110c4036c77c09ab_000000001033,0.327869,200.257889,91.401347
973,11dd74426e8374ac110c4036c77c09ab_000000001034,0.344520,299.946188,120.477019
973,11dd74426e8374ac110c4036c77c09ab_000000001034,0.344520,232.092308,172.144261
973,11dd74426e8374ac110c4036c77c09ab_000000001034,0.344520,208.725728,94.353528
974,11dd74426e8374ac110c4036c77c09ab_000000001035,0.333241,290.836826,116.614452
974,11dd74426e8374ac110c4036c77c09ab_000000001035,0.333241,224.632394,166.882290
974,11dd74426e8374ac110c4036c77c09ab_000000001035,0.333241,203.024321,92.124204
975,11dd74426e8374ac110c4036c77c09ab_000000001036,0.333241,292.806677,117.132832
975,11dd74426e8374ac110c4036c77c09ab_000000001036,0.333241,225.878935,166.637078
975,11dd74426e8374ac110c4036c77c09ab_000000001036,0.333241,204.052620,92.134424
976,11dd74426e8374ac110c4036c77c09ab_000000001037,0.343351,301.812773,120.458941
976,11dd74426e8374ac110c4036c77c09ab_000000001037,0.343351,232.739369,173.130681
976,11dd74426e8374ac110c4036c77c09ab_000000001037,0.343351,209.611704,95.445058
977,11dd74426e8374ac110c4036c77c09ab_000000001038,0.327869,284.484143,114.595717
977,11dd74426e8374ac110c4036c77c09ab_000000001038,0.327869,219.656722,163.414737
977,11dd74426e8374ac110c4036c77c09ab_000000001038,0.327869,200.741187,89.639702
978,11dd74426e8374ac110c4036c77c09ab_000000001039,0.339814,294.148404,118.521243
