instance_id,frame_id,frame_name,nm_per_pixel,area_nm2,cx_nm,cy_nm
1,44,11dd74426e8374ac110c4036c77c09ab_000000000044,0.390658,185.730637,250.590184,203.015987
1,45,11dd74426e8374ac110c4036c77c09ab_000000000045,0.390658,186.570011,250.712956,203.060145
1,46,11dd74426e8374ac110c4036c77c09ab_000000000046,0.390658,174.971385,250.294902,202.412689
1,47,11dd74426e8374ac110c4036c77c09ab_000000000047,0.390658,175.734452,252.647051,202.849390
1,48,11dd74426e8374ac110c4036c77c09ab_000000000048,0.390658,190.232736,252.809618,201.816187
1,49,11dd74426e8374ac110c4036c77c09ab_000000000049,0.383342,182.586334,247.805511,197.785938
1,50,11dd74426e8374ac110c4036c77c09ab_000000000050,0.392232,187.461538,257.094631,203.683867
1,51,11dd74426e8374ac110c4036c77c09ab_000000000051,0.392232,188.461538,257.439822,203.474249
1,52,11dd74426e8374ac110c4036c77c09ab_000000000052,0.390658,183.212514,257.767043,204.250645
1,53,11dd74426e8374ac110c4036c77c09ab_000000000059,0.390658,224.036627,260.069429,203.040641
1,54,11dd74426e8374ac110c4036c77c09ab_000000000060,0.390658,212.438001,257.064507,202.018956
1,55,11dd74426e8374ac110c4036c77c09ab_000000000061,0.390658,210.454025,254.826046,202.631457
1,56,11dd74426e8374ac110c4036c77c09ab_000000000062,0.390658,198.244945,258.516479,204.237436
1,57,11dd74426e8374ac110c4036c77c09ab_000000000063,0.390658,197.252957,256.979098,204.268814
1,58,11dd74426e8374ac110c4036c77c09ab_000000000064,0.390658,192.674552,256.948197,203.071257
1,59,11dd74426e8374ac110c4036c77c09ab_000000000065,0.390658,190.309042,257.132510,203.201277
1,60,11dd74426e8374ac110c4036c77c09ab_000000000066,0.390658,192.293018,259.450872,203.542602
1,61,11dd74426e8374ac110c4036c77c09ab_000000000067,0.390658,195.879435,260.093965,203.980232
1,62,11dd74426e8374ac110c4036c77c09ab_000000000068,0.390658,196.032049,259.505331,204.042322
1,63,11dd74426e8374ac110c4036c77c09ab_000000000069,0.390658,197.939718,261.022707,204.911669
