frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,350.548601,173.288524
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,278.957139,208.591894
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,331.035020,227.574275
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,288.038689,151.630689
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,345.037493,170.400237
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,279.209923,208.382465
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,330.391219,227.694631
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,288.133097,151.551396
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,346.989554,168.717432
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,277.957418,208.949920
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,331.190986,227.963442
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,285.601929,152.227438
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,345.426239,170.381449
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,284.484850,213.254921
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,336.578913,231.923137
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,292.877054,154.618997
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,352.617842,174.244234
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,284.606668,213.382104
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,335.329137,231.352339
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,294.240016,154.440478
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,350.027469,174.524399
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,285.568148,211.742100
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,337.434168,231.488916
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,296.126065,154.825306
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,351.037853,173.066061
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,285.668912,212.365951
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,337.592038,230.822647
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,293.397565,156.146828
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,354.460257,172.027887
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,285.950794,212.571842
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,336.229910,231.171411
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,293.516975,155.000737
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,353.650997,174.050789
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,284.400395,212.897406
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,337.639726,231.134358
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,293.525416,156.819213
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,351.655528,172.075623
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,284.547917,213.100794
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,336.777461,231.078611
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,291.065540,154.984357
26,11dd74426e8374ac110c4036c77c09ab_000000000026,0.390658,353.770121,172.509653
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,286.228432,211.857099
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,338.020012,231.912622
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,294.788568,154.385315
27,11dd74426e8374ac110c4036c77c09ab_000000000027,0.390658,354.658376,172.294116
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,285.802104,212.464640
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,336.496819,230.871003
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,291.477872,155.298142
28,11dd74426e8374ac110c4036c77c09ab_000000000028,0.390658,353.118444,172.668322
29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,286.076260,212.287695
29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,337.333213,231.493232
29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,290.636875,156.277349
29,11dd74426e8374ac110c4036c77c09ab_000000000029,0.390658,354.927549,173.211544
30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,284.196601,212.031684
30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,335.773730,229.810237
30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,292.260904,155.766805
30,11dd74426e8374ac110c4036c77c09ab_000000000030,0.390658,354.811740,171.828422
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,287.631548,212.646927
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,340.069964,229.816508
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,291.227440,154.059668
31,11dd74426e8374ac110c4036c77c09ab_000000000031,0.390658,354.354319,171.263477
32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,285.659827,211.856741
32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,335.255245,229.434744
32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,290.258497,156.428758
32,11dd74426e8374ac110c4036c77c09ab_000000000032,0.390658,355.870121,172.327199
