frame_id,frame_name,delta_area_nm2_per_frame
124,11dd74426e8374ac110c4036c77c09ab_000000000130,-4.335048
125,11dd74426e8374ac110c4036c77c09ab_000000000131,3.600294
126,11dd74426e8374ac110c4036c77c09ab_000000000132,-1.102131
127,11dd74426e8374ac110c4036c77c09ab_000000000133,-16.164585
128,11dd74426e8374ac110c4036c77c09ab_000000000134,31.961793
129,11dd74426e8374ac110c4036c77c09ab_000000000135,13.078619
130,11dd74426e8374ac110c4036c77c09ab_000000000136,11.388685
131,11dd74426e8374ac110c4036c77c09ab_000000000137,0.293902
132,11dd74426e8374ac110c4036c77c09ab_000000000138,-1.238496
133,11dd74426e8374ac110c4036c77c09ab_000000000139,-3.327434
134,11dd74426e8374ac110c4036c77c09ab_000000000140,15.293336
135,11dd74426e8374ac110c4036c77c09ab_000000000141,3.673769
136,11dd74426e8374ac110c4036c77c09ab_000000000142,-0.440852
137,11dd74426e8374ac110c4036c77c09ab_000000000143,16.547464
138,11dd74426e8374ac110c4036c77c09ab_000000000144,1.449828
139,11dd74426e8374ac110c4036c77c09ab_000000000145,9.690958
140,11dd74426e8374ac110c4036c77c09ab_000000000146,-0.228920
141,11dd74426e8374ac110c4036c77c09ab_000000000147,19.420069
142,11dd74426e8374ac110c4036c77c09ab_000000000148,-1.564288
143,11dd74426e8374ac110c4036c77c09ab_000000000149,-25.035904
144,11dd74426e8374ac110c4036c77c09ab_000000000150,22.632241
145,11dd74426e8374ac110c4036c77c09ab_000000000151,1.945822
146,11dd74426e8374ac110c4036c77c09ab_000000000152,-33.422358
147,11dd74426e8374ac110c4036c77c09ab_000000000153,0.724914
148,11dd74426e8374ac110c4036c77c09ab_000000000154,-12.628768
149,11dd74426e8374ac110c4036c77c09ab_000000000155,2.594430
150,11dd74426e8374ac110c4036c77c09ab_000000000156,3.891644
151,11dd74426e8374ac110c4036c77c09ab_000000000157,-17.397940
152,11dd74426e8374ac110c4036c77c09ab_000000000158,-8.261909
153,11dd74426e8374ac110c4036c77c09ab_000000000159,-1.200129
