frame_id,frame_name,nm_per_pixel,cx_nm,cy_nm,diameter_nm,height_nm
16,11dd74426e8374ac110c4036c77c09ab_000000000016,0.390658,241.265518,197.355311,17.820185,12.753651
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,246.437002,148.737413,18.687784,15.433687
17,11dd74426e8374ac110c4036c77c09ab_000000000017,0.383342,236.543822,194.104383,17.140919,12.630151
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,245.976285,148.883775,21.258026,12.686246
18,11dd74426e8374ac110c4036c77c09ab_000000000018,0.383342,237.420987,194.780963,17.107225,12.272570
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,246.271606,148.454656,21.258026,12.686246
19,11dd74426e8374ac110c4036c77c09ab_000000000019,0.383342,237.456926,194.300639,17.107203,12.179588
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,251.940462,151.101301,21.975096,13.533446
20,11dd74426e8374ac110c4036c77c09ab_000000000020,0.390658,241.279109,197.400245,17.147739,12.973193
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,251.335734,151.440277,21.314335,14.151305
21,11dd74426e8374ac110c4036c77c09ab_000000000021,0.390658,240.826100,197.352116,17.418701,12.477229
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,253.855100,152.822553,23.295044,13.326926
22,11dd74426e8374ac110c4036c77c09ab_000000000022,0.390658,243.142078,198.100205,16.911257,13.977652
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,252.574542,151.047628,22.362558,14.500730
23,11dd74426e8374ac110c4036c77c09ab_000000000023,0.390658,243.841847,198.491245,18.528515,12.306931
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,253.193719,152.251111,22.362583,14.500730
24,11dd74426e8374ac110c4036c77c09ab_000000000024,0.390658,244.457138,200.014319,18.664759,12.306931
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,254.425826,153.040283,23.480122,12.154419
25,11dd74426e8374ac110c4036c77c09ab_000000000025,0.390658,244.382650,198.991441,18.531185,12.288507
