instance_id,frame_id,frame_name,nm_per_pixel,area_nm2,cx_nm,cy_nm
124,567,11dd74426e8374ac110c4036c77c09ab_000000000622,0.338788,1969.813486,297.313856,111.413884
124,568,11dd74426e8374ac110c4036c77c09ab_000000000623,0.338788,1959.942611,294.299664,112.240880
124,569,11dd74426e8374ac110c4036c77c09ab_000000000624,0.338788,1938.938307,294.554830,112.487652
124,570,11dd74426e8374ac110c4036c77c09ab_000000000625,0.338788,1821.979914,296.110830,113.483773
124,571,11dd74426e8374ac110c4036c77c09ab_000000000626,0.338788,1830.588235,293.032123,110.909620
124,572,11dd74426e8374ac110c4036c77c09ab_000000000627,0.338788,1880.172166,295.278395,111.324907
125,554,11dd74426e8374ac110c4036c77c09ab_000000000609,0.333241,655.413659,355.831022,220.389432
125,555,11dd74426e8374ac110c4036c77c09ab_000000000610,0.322665,665.070276,340.453609,212.536771
125,556,11dd74426e8374ac110c4036c77c09ab_000000000611,0.344520,779.821958,362.543293,226.978836
125,557,11dd74426e8374ac110c4036c77c09ab_000000000612,0.339814,700.000000,358.500939,224.071985
125,558,11dd74426e8374ac110c4036c77c09ab_000000000613,0.338788,685.451937,357.800312,223.872504
125,559,11dd74426e8374ac110c4036c77c09ab_000000000614,0.338788,685.451937,356.496067,223.796864
125,560,11dd74426e8374ac110c4036c77c09ab_000000000615,0.338788,687.517934,357.721487,224.213588
125,561,11dd74426e8374ac110c4036c77c09ab_000000000616,0.339814,678.983834,357.620750,224.754143
125,562,11dd74426e8374ac110c4036c77c09ab_000000000617,0.339814,729.099307,358.664790,223.861136
125,563,11dd74426e8374ac110c4036c77c09ab_000000000618,0.338788,715.294118,354.233066,222.721876
125,564,11dd74426e8374ac110c4036c77c09ab_000000000619,0.338788,728.837877,355.138019,222.904566
125,565,11dd74426e8374ac110c4036c77c09ab_000000000620,0.337676,706.271380,352.966852,222.734672
125,566,11dd74426e8374ac110c4036c77c09ab_000000000621,0.338788,732.969871,352.904670,222.741479
125,567,11dd74426e8374ac110c4036c77c09ab_000000000622,0.338788,740.545194,355.939581,222.619313
125,568,11dd74426e8374ac110c4036c77c09ab_000000000623,0.338788,738.708752,354.341047,221.773211
125,569,11dd74426e8374ac110c4036c77c09ab_000000000624,0.338788,748.120516,355.096869,223.424577
125,570,11dd74426e8374ac110c4036c77c09ab_000000000625,0.338788,747.431851,354.485379,222.770077
125,571,11dd74426e8374ac110c4036c77c09ab_000000000626,0.338788,751.334290,352.733787,222.092789
125,572,11dd74426e8374ac110c4036c77c09ab_000000000627,0.338788,769.469154,354.260899,221.969838
126,573,11dd74426e8374ac110c4036c77c09ab_000000000628,0.344520,800.474777,362.872926,227.358032
126,574,11dd74426e8374ac110c4036c77c09ab_000000000629,0.344520,789.554896,361.290453,227.537063
126,575,11dd74426e8374ac110c4036c77c09ab_000000000630,0.344520,790.029674,360.086650,226.656858
127,573,11dd74426e8374ac110c4036c77c09ab_000000000628,0.344520,1.127596,291.611081,202.700215
127,574,11dd74426e8374ac110c4036c77c09ab_000000000629,0.344520,0.890208,297.019194,201.663352
127,575,11dd74426e8374ac110c4036c77c09ab_000000000630,0.344520,0.474777,303.094417,201.621717
128,573,11dd74426e8374ac110c4036c77c09ab_000000000628,0.344520,389.792285,313.340431,203.150148
128,574,11dd74426e8374ac110c4036c77c09ab_000000000629,0.344520,348.486647,313.651181,203.621025
128,575,11dd74426e8374ac110c4036c77c09ab_000000000630,0.344520,350.385757,320.097693,202.911860
129,573,11dd74426e8374ac110c4036c77c09ab_000000000628,0.344520,161.661721,251.717590,188.519151
129,574,11dd74426e8374ac110c4036c77c09ab_000000000629,0.344520,163.738872,251.042679,188.507397
129,575,11dd74426e8374ac110c4036c77c09ab_000000000630,0.344520,167.952522,251.544657,188.229303
130,573,11dd74426e8374ac110c4036c77c09ab_000000000628,0.344520,1991.454006,302.723149,114.586505
130,574,11dd74426e8374ac110c4036c77c09ab_000000000629,0.344520,2009.732938,300.898414,113.923528
130,575,11dd74426e8374ac110c4036c77c09ab_000000000630,0.344520,2007.833828,299.796491,112.955826
131,576,11dd74426e8374ac110c4036c77c09ab_000000000631,0.344520,794.302671,360.832803,226.768095
131,577,11dd74426e8374ac110c4036c77c09ab_000000000632,0.344520,810.682493,357.569867,226.276632
131,578,11dd74426e8374ac110c4036c77c09ab_000000000633,0.344520,813.531157,359.656042,226.530564
131,579,11dd74426e8374ac110c4036c77c09ab_000000000634,0.344520,815.905045,363.608985,226.266917
131,580,11dd74426e8374ac110c4036c77c09ab_000000000635,0.344520,807.833828,361.525082,224.706166
131,581,11dd74426e8374ac110c4036c77c09ab_000000000636,0.344520,815.430267,359.347563,223.963000
131,582,11dd74426e8374ac110c4036c77c09ab_000000000637,0.344520,803.323442,357.393023,223.820389
131,583,11dd74426e8374ac110c4036c77c09ab_000000000638,0.344520,803.323442,358.800208,223.898339
